City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,rikitea,100,PF,1571785439,85,-23.12,-134.97,68.32400000000001,9.25
1,namibe,78,AO,1571785513,82,-15.19,12.15,69.76400000000004,3.06
2,isangel,75,VU,1571785623,69,-19.55,169.27,79.06999999999996,5.1
3,shahe,33,CN,1571785623,49,36.85,114.5,61.28599999999997,1.06
4,albany,90,US,1571785130,71,42.65,-73.75,59.26999999999996,3.6
5,busselton,6,AU,1571785328,75,-33.64,115.35,60.27799999999996,6.05
6,camacha,40,PT,1571785624,68,33.08,-16.33,66.46999999999997,5.7
7,dikson,100,RU,1571785464,92,73.51,80.55,18.57200000000004,10.21
8,tuktoyaktuk,90,CA,1571785430,92,69.44,-133.03,21.469999999999956,3.1
9,saskylakh,0,RU,1571785559,91,71.97,114.09,5.251999999999974,2.47
10,constitucion,75,MX,1571785486,24,23.99,-104.67,82.66999999999996,2.1
11,moree,73,AU,1571785624,49,-29.46,149.84,71.86999999999996,8.2
12,hofn,100,IS,1571785624,70,64.25,-15.21,37.18399999999999,17.97
13,butaritari,17,KI,1571785465,73,3.07,172.79,84.23599999999996,5.33
14,arraial do cabo,75,BR,1571785439,78,-22.97,-42.02,73.66999999999996,2.6
15,lusambo,51,CD,1571785625,99,-4.97,23.44,66.38000000000005,0.32
16,spirit river,90,CA,1571785625,86,55.78,-118.84,37.66999999999996,8.7
17,marienburg,76,DE,1571785628,87,52.12,9.98,50.26999999999996,0.5
18,sao filipe,11,CV,1571785598,80,14.9,-24.5,75.29000000000002,9.62
19,vaini,93,IN,1571785438,98,15.34,74.49,67.26199999999996,0.51
20,nangong,38,CN,1571785628,67,37.36,115.37,61.609999999999985,1.99
21,goundam,51,ML,1571785628,26,16.42,-3.66,93.91999999999996,1.15
22,ushuaia,40,AR,1571785261,37,-54.81,-68.31,55.66999999999996,7.7
23,jackson,90,US,1571785362,86,43.48,-110.76,46.66999999999996,3.04
24,jonkoping,75,SE,1571785571,87,57.78,14.16,48.469999999999956,6.7
25,carnarvon,83,ZA,1571785477,19,-30.97,22.13,55.11199999999995,8.29
26,acobamba,56,PE,1571785629,86,-11.35,-75.66,44.653999999999954,1.18
27,port alfred,100,ZA,1571785458,80,-33.59,26.89,56.26400000000004,1.34
28,fare,3,PF,1571785629,69,-16.7,-151.02,80.79800000000003,1.62
29,yellowknife,90,CA,1571785215,93,62.45,-114.38,35.86999999999996,1.0
30,barrow,100,AR,1571785457,92,-38.31,-60.23,48.30800000000001,5.85
31,boguchany,100,RU,1571785629,91,58.38,97.46,22.92799999999996,2.18
32,luderitz,0,NA,1571785432,82,-26.65,15.16,57.469999999999956,4.1
33,inuvik,90,CA,1571785630,100,68.36,-133.71,21.469999999999956,1.0
34,pevek,100,RU,1571785439,92,69.7,170.27,17.41999999999996,5.09
35,punta arenas,75,CL,1571785423,50,-53.16,-70.91,52.069999999999965,14.4
36,champerico,90,MX,1571785630,83,16.38,-93.6,75.46999999999997,5.1
37,cape town,40,ZA,1571785274,67,-33.93,18.42,60.27799999999996,3.1
38,nishihara,20,JP,1571785431,87,35.74,139.53,70.26799999999999,3.6
39,atuona,9,PF,1571785426,71,-9.8,-139.03,79.7,5.84
40,kaeo,23,NZ,1571785630,83,-35.1,173.78,60.27799999999996,11.93
41,new norfolk,67,AU,1571785425,23,-42.78,147.06,69.27799999999996,3.1
42,puerto cabezas,40,NI,1571785631,89,14.04,-83.39,84.46999999999997,2.1
43,hilo,90,US,1571785434,54,19.71,-155.08,84.46999999999997,5.1
44,dhidhdhoo,100,MV,1571785631,76,6.88,73.1,82.184,2.41
45,noumea,81,NC,1571785594,65,-22.28,166.46,77.26999999999995,8.2
46,umba,100,RU,1571785631,91,66.69,34.34,40.67599999999999,11.03
47,kapaa,40,US,1571785426,74,22.08,-159.32,84.46999999999997,5.7
48,nikolskoye,75,RU,1571785472,71,59.7,30.79,52.069999999999965,6.0
49,victoria,75,BN,1571785531,94,5.28,115.24,77.26999999999995,0.5
50,joshimath,0,IN,1571785631,23,30.57,79.57,40.1,3.12
51,longyearbyen,75,NO,1571785499,66,78.22,15.63,14.269999999999957,3.6
52,lagoa,20,PT,1571785523,76,37.14,-8.45,58.26199999999996,3.6
53,katsuura,40,JP,1571785632,87,33.93,134.5,59.26999999999996,2.6
54,torbay,90,CA,1571785510,93,47.66,-52.73,44.27599999999999,6.2
55,airai,53,TL,1571785448,19,-8.93,125.41,79.34000000000003,3.36
56,blagoyevo,100,RU,1571785632,96,63.37,47.92,35.99600000000005,6.97
57,madang,67,CN,1571785632,64,35.32,102.79,42.02599999999999,2.43
58,sao goncalo dos campos,0,BR,1571785633,83,-12.43,-38.97,73.92200000000004,3.57
59,saint-pierre,88,FR,1571785448,100,48.95,4.24,52.26799999999999,3.6
60,belmonte,70,PT,1571785633,89,40.36,-7.35,55.274000000000015,0.87
61,smithers,75,CA,1571785610,46,54.78,-127.17,50.26999999999996,6.2
62,mataura,90,NZ,1571785439,66,-46.19,168.86,49.26199999999996,6.71
63,bafra,75,TR,1571785633,77,41.57,35.91,64.66999999999996,5.1
64,bambanglipuro,85,ID,1571785633,78,-7.95,110.28,77.66600000000001,1.28
65,sechelt,75,CA,1571785633,67,49.47,-123.76,57.469999999999956,5.1
66,chumikan,84,RU,1571785467,63,54.72,135.31,37.52599999999999,4.41
67,hermanus,64,ZA,1571785431,85,-34.42,19.24,58.26199999999996,5.58
68,jalalabad,20,AF,1571785634,77,34.43,70.46,61.069999999999965,1.81
69,lompoc,1,US,1571785431,36,34.64,-120.46,97.06999999999996,6.2
70,nhulunbuy,75,AU,1571785634,65,-12.18,136.78,82.66999999999996,6.7
71,chanthaburi,32,TH,1571785634,69,12.61,102.11,84.27200000000005,1.99
72,santiago del estero,100,AR,1571785634,28,-27.8,-64.26,73.75999999999999,5.38
73,chokurdakh,100,RU,1571785486,92,70.62,147.9,7.951999999999973,2.95
74,bredasdorp,52,ZA,1571785465,76,-34.53,20.04,55.274000000000015,2.6
75,nanortalik,100,GL,1571785473,97,60.14,-45.24,33.76400000000003,4.43
76,burdur,0,TR,1571785635,71,37.72,30.29,53.86999999999996,3.6
77,cabo san lucas,5,MX,1571785443,69,22.89,-109.91,86.26999999999995,5.7
78,east london,100,ZA,1571785603,72,-33.02,27.91,61.43000000000004,8.49
79,swan hill,0,AU,1571785635,21,-35.34,143.56,81.05000000000001,2.53
80,bud,100,NO,1571785479,75,62.91,6.91,44.86999999999996,1.5
81,khatanga,94,RU,1571785460,71,71.98,102.47,14.666000000000007,6.68
82,tres picos,99,MX,1571785638,98,16.23,-93.58,70.75399999999996,0.74
83,guarapari,90,BR,1571785638,83,-20.67,-40.5,75.46999999999997,4.1
84,bluff,0,AU,1571785423,39,-23.58,149.07,76.45999999999998,6.76
85,hithadhoo,98,MV,1571785190,78,-0.6,73.08,81.21199999999996,4.6
86,inirida,72,CO,1571785639,81,3.87,-67.92,76.96400000000003,0.8
87,savannah bight,50,HN,1571785639,76,16.45,-85.85,84.93800000000005,11.46
88,saint-francois,90,FR,1571785639,93,46.42,3.91,57.469999999999956,3.1
89,kodiak,1,US,1571785433,35,39.95,-94.76,57.272000000000034,8.2
90,rio gallegos,40,AR,1571785482,82,-51.62,-69.22,57.469999999999956,7.7
91,tasiilaq,0,GL,1571785509,68,65.61,-37.64,26.86999999999996,3.6
92,petropavlovsk-kamchatskiy,40,RU,1571785640,100,53.05,158.65,35.86999999999996,3.0
93,araure,40,VE,1571785640,61,9.59,-69.23,82.66999999999996,1.0
94,neuquen,0,AR,1571785640,22,-38.95,-68.06,70.06999999999996,3.1
95,sitka,0,US,1571785640,19,37.17,-99.65,67.26199999999996,4.47
96,zhezkazgan,49,KZ,1571785613,48,47.8,67.71,29.732000000000017,2.53
97,alofi,75,NU,1571785543,69,-19.06,-169.92,82.66999999999996,5.1
98,coihaique,0,CL,1571785640,41,-45.58,-72.07,57.469999999999956,3.1
99,mehamn,75,NO,1571785491,74,71.03,27.85,34.06999999999996,9.3
100,kavaratti,100,IN,1571785560,80,10.57,72.64,80.618,4.61
101,tiksi,0,RU,1571785426,90,71.64,128.87,1.2019999999999733,4.05
102,reconquista,62,AR,1571785641,74,-29.14,-59.64,62.25800000000001,3.35
103,jamestown,0,AU,1571785425,17,-33.21,138.6,81.734,5.9
104,hampton,1,US,1571785641,46,32.88,-81.13,79.06999999999996,3.17
105,el astillero,90,ES,1571785641,100,43.4,-3.82,58.26199999999996,1.5
106,geraldton,90,CA,1571785476,93,49.72,-86.95,44.86999999999996,2.1
107,cherskiy,89,RU,1571785453,84,68.75,161.3,5.935999999999968,4.69
108,newcastle,20,AU,1571785386,72,-32.93,151.78,76.26199999999996,4.1
109,cayenne,88,GF,1571785488,78,4.94,-52.33,80.86999999999996,1.5
110,djambala,79,CG,1571785642,98,-2.55,14.76,67.334,1.68
111,san cristobal,83,HN,1571785475,90,14.68,-86.92,69.33200000000002,1.89
112,hobart,68,AU,1571785447,60,-42.88,147.33,69.27799999999996,3.1
113,gallatin,1,US,1571785523,44,36.39,-86.45,64.27400000000002,2.6
114,faya,0,SA,1571785486,93,18.39,42.45,62.86999999999996,1.81
115,chuy,56,UY,1571785532,79,-33.69,-53.46,55.022000000000034,2.58
116,komsomolskiy,96,RU,1571785498,97,67.55,63.78,13.946000000000048,3.5
117,avera,1,US,1571785611,48,33.19,-82.53,79.06999999999996,1.5
118,ulaanbaatar,40,MN,1571785642,78,47.92,106.92,17.86999999999996,5.0
119,baghdad,14,IQ,1571785643,64,33.3,44.38,68.26999999999995,3.6
120,kruisfontein,100,ZA,1571785643,75,-34.0,24.73,50.684,2.16
121,puerto ayora,75,EC,1571785430,64,-0.74,-90.35,75.46999999999997,4.6
122,nanyamba,40,MZ,1571785643,94,-10.69,39.81,75.46999999999997,1.19
123,lata,0,IN,1571785606,26,30.78,78.62,25.808000000000003,1.61
124,yuzhno-sukhokumsk,56,RU,1571785643,76,44.66,45.65,51.475999999999985,1.95
125,bratsk,40,RU,1571785643,85,56.15,101.63,19.66999999999996,3.0
126,souillac,100,FR,1571785486,93,45.6,-0.6,55.66999999999996,4.6
127,berlevag,75,NO,1571785497,74,70.86,29.09,34.06999999999996,9.3
128,darab,67,IR,1571785644,42,28.75,54.55,70.25,1.26
129,kazanskaya,99,RU,1571785647,52,45.41,40.44,57.272000000000034,3.19
130,terney,0,RU,1571785647,46,45.05,136.61,53.366000000000014,2.35
131,methoni,0,GR,1571785648,48,36.82,21.7,62.86999999999996,1.5
132,uyar,100,RU,1571785648,74,55.81,94.33,23.017999999999983,1.81
133,coquimbo,75,CL,1571785425,82,-29.95,-71.34,57.469999999999956,5.1
134,clyde river,40,CA,1571785614,73,70.47,-68.59,32.26999999999996,4.1
135,beringovskiy,82,RU,1571785477,92,63.05,179.32,26.708000000000006,11.24
136,kuminskiy,32,RU,1571785649,90,58.67,66.57,29.461999999999954,2.93
137,novoagansk,100,RU,1571785649,98,61.94,76.66,34.825999999999986,5.67
138,karratha,19,AU,1571785475,46,-20.74,116.85,84.90199999999999,6.07
139,iqaluit,75,CA,1571785489,86,63.75,-68.52,30.46999999999996,1.0
140,lubumbashi,100,CD,1571785649,73,-11.66,27.48,68.41400000000004,2.83
141,inta,96,RU,1571785649,92,66.04,60.13,21.253999999999948,6.25
142,saint-joseph,80,FR,1571785479,50,43.56,6.97,75.46999999999997,4.1
143,kroya,99,ID,1571785605,48,-6.5,108.06,81.12200000000004,1.77
144,northam,40,AU,1571785510,93,-31.65,116.67,57.469999999999956,4.1
145,narsaq,99,GL,1571785472,74,60.91,-46.05,35.86999999999996,1.5
146,lima,0,PE,1571785504,72,-12.06,-77.04,66.46999999999997,5.1
147,dinajpur,26,BD,1571785650,70,25.63,88.63,68.576,0.28
148,aripuana,37,BR,1571785650,72,-9.17,-60.63,78.27799999999996,0.47
149,tuatapere,39,NZ,1571785466,66,-46.13,167.69,49.26199999999996,6.71
150,mariinsk,99,RU,1571785650,68,56.21,87.75,25.51999999999996,5.1
151,xining,33,CN,1571785493,74,36.62,101.77,39.07400000000001,1.3
152,paso de carrasco,33,UY,1571785650,48,-34.86,-56.05,64.27400000000002,3.1
153,los llanos de aridane,20,ES,1571785487,60,28.66,-17.92,68.26999999999995,3.1
154,la paz,5,MX,1571785651,48,24.15,-110.32,84.46999999999997,2.1
155,umm kaddadah,99,SD,1571785479,55,13.6,26.69,80.86999999999996,1.79
156,buique,52,BR,1571785651,73,-8.62,-37.16,71.042,2.56
157,yermakovskoye,100,RU,1571785651,82,53.28,92.4,20.966000000000008,0.93
158,fortuna,20,US,1571785497,77,40.6,-124.16,71.27599999999998,8.2
159,evensk,0,RU,1571785651,48,61.92,159.24,16.411999999999956,4.1
160,portland,90,US,1571785523,81,43.66,-70.25,54.266000000000005,6.7
161,tingo maria,40,PE,1571785652,50,-9.29,-76.01,79.06999999999996,11.8
162,penarth,38,GB,1571785652,87,51.44,-3.17,49.26199999999996,1.5
163,circleville,1,US,1571785652,44,39.6,-82.95,59.26999999999996,3.6
164,qaanaaq,100,GL,1571785434,47,77.48,-69.36,11.875999999999987,4.89
165,cheremukhovo,100,RU,1571785652,86,56.23,46.23,43.57400000000001,4.23
166,micheweni,0,TZ,1571785652,84,-4.97,39.83,80.79800000000003,3.98
167,nouakchott,15,MR,1571785555,78,18.08,-15.98,75.46999999999997,7.2
168,isiro,95,CD,1571785655,99,2.77,27.62,68.07200000000003,0.26
169,flin flon,20,CA,1571785543,56,54.77,-101.88,41.26999999999996,3.6
170,dongsheng,100,CN,1571785656,84,29.72,112.52,60.998000000000026,4.01
171,tahe,7,CN,1571785656,82,52.34,124.71,29.408000000000005,0.57
172,sur,0,OM,1571785543,38,22.57,59.53,77.14399999999998,1.3
173,grindavik,40,IS,1571785481,66,63.84,-22.43,32.26999999999996,10.8
174,acapulco,75,MX,1571785656,74,16.86,-99.88,84.46999999999997,3.1
175,mlonggo,20,ID,1571785656,78,-6.53,110.7,85.26199999999996,1.0
176,bethel,1,US,1571785492,72,60.79,-161.76,43.06999999999996,3.6
177,bartica,20,GY,1571785657,83,6.41,-58.62,80.86999999999996,2.1
178,kalabo,74,ZM,1571785657,26,-15.0,22.67,81.23000000000005,5.15
179,inhuma,62,BR,1571785657,75,-6.67,-41.71,76.83800000000005,1.84
180,burnie,2,AU,1571785657,65,-41.05,145.91,67.26199999999996,6.49
181,basco,1,US,1571785657,43,40.33,-91.2,54.266000000000005,8.2
182,lashio,53,MM,1571785658,99,22.93,97.75,65.174,0.37
183,lavrentiya,75,RU,1571785553,78,65.58,-170.99,34.03399999999999,7.79
184,la asuncion,17,AR,1571785658,53,-26.05,-65.39,57.97400000000002,1.13
185,naze,75,NG,1571785606,94,5.43,7.07,77.26999999999995,1.6
186,vila franca do campo,75,PT,1571785498,68,37.72,-25.43,68.26999999999995,2.1
187,brae,100,GB,1571785558,93,60.4,-1.35,52.069999999999965,10.8
188,karasjok,100,NO,1571785658,86,69.47,25.52,34.06999999999996,7.2
189,saldanha,100,PT,1571785499,71,41.42,-6.55,50.161999999999956,4.35
